"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
,,"hypothermia",51,6.540
,,"Iraq",110,6.310
,,"Hussein",50,6.310
,,"terrorism",77,6.270
,,"Saddam",48,6.250
,,"warming",77,6.240
,,"smoke",48,6.160
,,"flooding",45,6.140
,,"opportunism",37,6.120
,,"threat",69,6.100
,,"poisoning",41,6.070
,,"defendant",78,6.030
,,"person",313,6.020
,,"revisionism",32,5.900
,,"hazard",36,5.880
,,"complacency",33,5.880
,,"Islam",100,5.850
,,"Trump",126,5.840
,,"offender",39,5.830
,,"dehydration",33,5.810
,,"Isis",34,5.680
,,"risk",77,5.660
,,"driving",41,5.650
,,"individual",117,5.630
,,"infection",53,5.600
,,"lightning",29,5.600
,,"virus",54,5.560
,,"avalanche",26,5.560
,,"driver",77,5.540
,,"inflation",43,5.520
,,"fascism",31,5.520
,,"someone",139,5.510
,,"dog",108,5.480
,,"radiation",33,5.470
,,"extremism",25,5.460
,,"shark",31,5.420
,,"pollution",38,5.410
,,"asbestos",25,5.400
,,"gas",48,5.390
,,"ice",34,5.390
,,"communism",31,5.370
,,"frostbite",22,5.360
,,"weapon",65,5.330
,,"patient",89,5.230
,,"wildfire",22,5.230
,,"presence",38,5.220
,,"wolf",30,5.210
,,"animal",69,5.190
,,"imperialism",22,5.180
,,"predator",23,5.140
,,"flood",23,5.140
,,"Muslims",31,5.130
,,"explosion",23,5.120
,,"COVID-19",32,5.100
,,"nationalism",23,5.060
,,"concern",102,5.050
,,"gun",44,5.040
,,"frost",18,5.040
,,"alien",24,5.010
,,"drug",49,5.010
danger,"... on X",,16744,0.790
,,"educate",219,7.780
,,"awareness",327,7.720
,,"warning",239,7.630
,,"public",419,7.400
,,"youth",129,7.150
,,"warn",79,6.670
,,"education",156,6.360
,,"parent",101,6.250
,,"tale",44,6.250
,,"lesson",140,6.150
,,"campaign",158,6.080
,,"alarm",50,6.000
,,"teen",37,5.860
,,"harp",37,5.610
,,"expound",42,5.590
,,"sermon",49,5.550
,,"lecture",144,5.490
,,"community",139,5.450
,,"thrive",99,5.370
,,"child",149,5.370
,,"dwell",76,5.290
,,"brief",40,5.230
,,"lecture",61,5.230
,,"consumer",32,5.150
,,"adult",31,5.120
,,"attention",135,5.040
,,"PSA",17,5.010
,,"spotlight",68,5.010
,,"caution",17,5.010
danger,"X for ...",,16648,0.790
,,"cyclist",84,5.910
,,"pedestrian",87,5.870
,,"democracy",156,5.810
,,"motorist",41,5.530
,,"civilian",37,5.520
,,"journalist",77,5.480
,,"society",181,5.430
,,"Jews",62,5.390
,,"Christian",84,5.260
,,"mankind",58,5.260
,,"Russia",52,5.220
,,"Republicans",38,5.180
,,"Israel",99,5.100
,,"pet",100,5.040
danger,"... for X",,9277,0.440
,,"alert",162,8.490
,,"alert",211,7.620
,,"surroundings",48,7.060
,,"scan",160,7.010
,,"disregard",260,6.840
,,"watch",339,6.620
,,"lookout",232,6.580
,,"red",44,6.540
,,"Red",26,6.480
,,"vigilant",29,6.360
,,"instinct",45,6.280
,,"nose",46,6.270
,,"alert",28,6.210
,,"contempt",132,6.200
,,"look-out",26,6.140
,,"warn",32,6.130
,,"scout",51,6.050
,,"watchful",20,6.030
,,"warning",77,5.970
,,"red",30,5.940
,,"unprepared",49,5.790
,,"watch",113,5.530
,,"horizon",30,5.530
,,"potential",688,5.450
,,"regard",106,5.310
,,"taste",83,5.310
,,"potential",94,5.190
,,"listen",85,5.120
,,"allegory",13,5.100
,,"alarm",18,5.020
danger,"... against X",,8806,0.420
,,"warn",1717,10.620
,,"warning",428,9.660
,,"guard",815,9.040
,,"Coalition",267,8.860
,,"guard",215,8.320
,,"caution",154,8.220
,,"provide",90,8.100
,,"public",85,7.950
,,"precaution",120,7.880
,,"safeguard",76,7.300
,,"security",80,7.290
,,"people",135,7.280
,,"safeguard",97,7.280
,,"child",72,7.200
,,"provision",41,6.990
,,"family",39,6.710
,,"caution",29,6.620
,,"secure",40,6.610
,,"other",29,6.550
,,"vigilance",28,6.550
,,"protect",558,6.460
,,"protection",488,6.460
,,"bulwark",41,6.370
,,"citizen",33,6.330
,,"safety",24,6.300
,,"vigilant",26,6.290
,,"weigh",50,6.230
,,"property",28,6.230
,,"shield",32,6.200
,,"defence",64,6.160
,,"country",35,6.120
,,"defense",156,6.110
,,"guarantee",29,6.070
,,"balance",34,6.000
,,"safe",19,5.950
,,"defend",112,5.940
,,"mitigate",29,5.910
,,"unite",33,5.900
